lp,src,mt,ref,score,raw_score,annotators
kk-en,"Өнер адамы болған соң, бәрі бастан өту керек.","After being an artist, everything has to go through.","As a creative person, I can experience everything.",-1.33518012453362,6.0,1
kk-en,"Ғасырға жуық тарихы бар газеттің мерейтойына орай өткен медиа-конференцияда қазіргі қазақ журналистикасы, жаңа трендтер мен заманауи технологиялар жайлы сөз болды.","Kazakh journalism, new trends and modern technologies were discussed at a media conference dedicated to the anniversary of the publication.","The speech was about current Kazakh journalism, new trends and the latest technologies at the media conference held in honor of the newspaper anniversary celebration with the history of almost a century.",0.264604352501631,56.0,2
kk-en,Ал үшінші бала респираторлы вирустық инфекция жұқтырған.,And a third child has a respiratory viral infection.,And the third child was infected with a viral respiratory infection.,0.808531074693617,73.0,1
kk-en,"""Қара археологияға"" қарсы күрес ережелері бекітіледі.","The rules for the fight against ""black archaeology"" will be approved.","""Black archaeology"" fighting rules agreed.",-0.919236160504457,19.0,1
kk-en,"""Қасиетті Қазақстан"" картасына Атыраудан 7 нысан енді.","7 facilities of Atyrau region entered the ""Sacred Kazakhstan"" map.","7 objects from Atyrau have been included in ""Sacred Kazakhstan"".",-0.823249091882342,22.0,1
kk-en,Жалын шарпыған аумақ - 150 шаршы метр.,The area is 150 square meters.,The flame area covered 150 square meters.,-0.151339611527535,43.0,1
kk-en,"Қосымша ақпаратты (Instagram (@jasagyn.kz) және (Facebook (jasagyn.kz), (VK (jasagynkz), парақшаларынан алуға болады.","More information can be found on Instagram (@jasagyn.kz) and Facebook (jasagyn.kz), (VK (jasagynkz).","For more information please refer to (Instagram (@jasagyn.kz) and (Facebook (jasagyn.kz), (VK (jasagynkz).",0.748747961397883,99.0,1
kk-en,Магнитудасы MPV 4.5 Эпицентр координаттары 40.27° с.ш. 77.97° в.д.,Magnitude MPV 4.5 Epicenter coordinates 40.27° c.h. 77.97° c.d.,MPV 4.5 Epicenter Magnitude coordinates were 40.27 ° N and 77.97 E.,-0.687479125050459,52.0,1
kk-en,"Егер жылдық табысы 73,09 мың доллардан асып кетпесе, онда оның бонусының көлемі 150 доллардан артық болмайды.","If annual earnings do not exceed $73,09,000, its bonus will not exceed $150.","If yearly income will not exceed 73.09 thousand dollars, size of his bonus will not exceed 150 dollars.",0.657073892050116,96.0,1
kk-en,Антониус Гунаван Агунг 28 қыркүйекте Сулавеси аралындағы Palu's Mutiara SIS Al-Jufrie әуежайында жұмыс орнында болған.,Antonius Gunavan Agung was at work at Palu's Mutiara SIS Al Jufrie Airport on Sulawesi Island on September 28.,Antonius Gunawan Agung was at his workplace in Palu's Mutiara SIS Al-Jufrie airport of Sulawesi island on September 28.,0.473725753354583,90.0,1
kk-en,"Күрделі жайттарға, үлкен кинематографияға қадам жасаудың қиындығына қарамастан кино дамып келеді.","Despite the complexities and the difficulty of moving into big cinematography, movies are developing.","In spite of complicated moments, complexity to make a step into big cinematography, the movie is developing.",0.626515868934194,95.0,1
kk-en,Жамбыл тұрғыны қызының өліміне марқұмның қайын жұртын айыптады.,A Zhambyl man has been charged with the murder of his daughter.,A Zhambyl resident blames the deceased's people in law for her daughter's death.,-0.656921101934538,53.0,2
kk-en,"Келесі жылдың тізімі жасалды, оған 40 үй кірді.","A list of the following year has been drawn up, including 40 homes.","The list for the following year has been drawn up, which included 40 houses.",0.748747961397883,99.0,1
kk-en,"Конференция жұмысын партия облыстық филиалының төрағасы, облыс әкімі Асқар Мырзахметов қорытындылап, мемлекеттік бағдарламаларды жүзеге асыруда партия мүшелері алдыңғы шепте тұруы керектігін айтып, тиісті басшыларға нақты тапсырмалар берді.","The head of the regional branch of the party, Askar Myrzakhmetov, summed up the results of the conference and instructed the relevant leaders to follow the lead of the party members in implementing state programs.","Chairman of the regional branch of the Party, Governor of the region Askar Myrzakhmetov summarized the work of the conference, saying that members of the Party should be in the forefront of state programs and gave specific instructions to the relevant leaders.",0.79530404323042,94.0,1
kk-en,Бұл туралы агенттік тілшісіне команданың медиа-офицері Константин Должанский мәлім етті.,"The agency said the team's media officer, Konstantin Doljansky, told reporters.",Media officer of the team Konstantin Dolzhansky announced this to the reporter of the agency.,0.669861765118366,89.0,1
kk-en,"Челябі нарығында жергілікті тауар өндірушілердің өнімі қымбат, бірақ біздің өнімнің сапасы олардыкінен еш кем емес.","Products of local producers are expensive in the Chelyabinsk market, but the quality of our products is not inferior to them.","Local products are expensive in the Chelyabinsk market, but the quality of our products is not worse than theirs.",0.870569410097652,97.0,2
kk-en,Ірі кәсіпорындарда жұмыс істейтіндердің тең жартысы осындай күйді бастан кешуде.,Almost half of people who work at large enterprises experience the same state of affairs.,Half of workers in large enterprises experience such a state.,0.945834776964884,100.0,1
kk-en,"Олар қаладағы ""Жұлдыз-Ардақ"" балабақшасының тәрбиленушілері.",They were confiscated from the city's Star Around Kindergarten.,"They are pupils of ""Zhuldyz-Ardak"" kindergarten in the city.",-0.93579939471592,25.0,1
kk-en,Ресей нарығы қазақстандық халал өнімдерге қызығушылық танытып отыр.,The Russian market is interested in Kazakh halal products.,The Russian market expresses interest towards Kazakh halal products.,0.945834776964884,100.0,1
kk-en,Батыс Қазақстан мен Павлодар облыстары Түркістанға тарихи-киелі орындардың орталығын салып беретін болды.,"In the western Kazakhstan and Pavlodar regions, a center of historical and holy places will be built in Turkestan.",West Kazakhstan and Pavlodar regions are going to build the center of historical and sacred places for Turkestan.,0.669861765118366,89.0,1
