lp,src,mt,ref,score,raw_score,annotators
gu-en,વડાપ્રધાનના હસ્તે અમૂલ ડેરી દ્વારા રૂા.77૦ કરોડના ખર્ચે નિર્માણ થયેલ વિવિધ ચાર પ્રકલ્પોનું લોકાર્પણ તેમજ રૂા.350 કરોડના ખર્ચે નિર્માણ થનાર ત્રણ પ્રકલ્પોના શિલાન્યાસ કરવામાં આવશે.,By the prime minister's Amul Dairy ruuaa.770 crore by the construction of a different four prakalponu.m ruuaa.350 crore in the construction and not at a cost that will be done in three prakalponaa....,"Amul Dairy’s four different projects, built at a cost of Rs. 770 crore and the other three projects that will be constructed at the cost of Rs.350 crores will be inaugurated by the Prime Minister.",0.298803043062247,84.5,2
gu-en,જમીન સંપાદન નહીં કરે તો જપ્ત કરાશે તે પ્રકારની ધમકી આપવામાં આવી રહી છે.,The acquisition of land will be seized and then that kind of threat is being given.,"They are being threatened that if the land is not acquired, it will be seized.",-0.637315435279158,61.0,1
gu-en,રૂપિયામાં કમજોરી અને ગ્લોબલ બજારોમાંથી મળેલી કમજોર સંકેતોથી આજ શેયર બજાર ઘટાડા સાથે બંધ થયો છે.,Wholesale trade and global weakness of the weak today with the magical runs at the close of the market.,"Due to the declining value of the Rupee and debilitating signals from global markets, the share market has closed today with a fall.",0.398390115226226,87.0,1
gu-en,સવારે પોણા સાત વાગે લગભગ 5800 મીટરની ઉંચાઈએ આવેલા પોપકોન ફીલ્ડ નામે ઓળખાતા સ્થળે આ ઘટના બની હતી.,"Seventy seven o'clock in the morning about 5800 metres, u.mchaaiie popakona Field in the name of the place, the incident.","This incident took place at 6:45 am at a place known as ‘Popcon Field’, which is at an altitude of about 5800 metres.",0.657316502852572,93.5,2
gu-en,આ શહેરમાં દાખલ થવા અને અહીંથી નીકળવા માટે 600 દરવાજા છે.,Here in this city and to enter the gates of 600 to.,There are 600 gates to enter and exit this city.,0.71706874615096,95.0,1
gu-en,કે પછી તેના નશાની પાછળ કોઈ અન્ય કહાણી હતી.,After that to any other Kahaanii behind her.,Or was there any other factor behind it.,0.637399088419776,93.0,1
gu-en,"જોકે, રશિયાએ તમામ આરોપોનું ખંડન કર્યું છે.","However, all <gu> aaroponu.m fragmentation.","However, Russia has denied all allegations.",0.557729430688593,91.0,1
gu-en,"જો કે, છેલ્લાં કેટલાંક વર્ષો દરમિયાન ચીને પોતાની કરન્સી યુઆનને ડોલરની સરખામણીએ આતંરરાષ્ટ્રીય મુદ્રા તરીકે ઉભી કરવાની કોશિશ કરી હતી.","However, in the past few years in China during its yuaanane International, as compared to $seal was to try.","However, during the last few years, China had tried to make its currency Yuan an international currency similar to the dollar.",0.338637871927839,85.5,2
gu-en,"ભારત તરફથી વિરાટ કોહલીએ 139, પૃથ્વી શૅાએ 134 અને રવિન્દ્ર જાડેજાએ 100* રનની ઇનિંગ રમી હતી.","From Virat Kohli, India 139, Earth shॅaae 134 and Ravindra Jadeja played an innings of 100 * *.","Virat Kohli played an innings scoring 139 runs, Prithvi Shaw made 134 runs and Ravindra Jadeja made 100* for India.",-0.0397930022952826,76.0,1
gu-en,જો તમે કરિયાણાનો સામાન કોઈ સુપર માર્કેટથી લેવા જઈ રહ્યા હ્હો તો થોડી સમજદારી બતાવતા યોગ્ય સમય પર યોગ્ય વસ્તુઓ ખરીદી શકો છો.,"If you have any super maarkeTathii kariyaaNaano goods are going to take a few wise showing hho at the right time, at the right things you can buy.","If you go to buy groceries from a supermarket, you can buy the right things at the right time while you have some basic understanding.",0.876408061613327,99.0,2
gu-en,100 રૂપિયાના કેશબેક યૂઝર્સને આપવામાં આવી રહ્યો છે.,100 rupees keshabeka yuujharsane is being given.,Users will get a cashback of 100 rupees.,0.876408061613327,99.0,1
gu-en,"અમદાવાદમાં મકાનોનાં ભાવો વધ્યા, વડોદરા-રાજકોટમાં ઘટ્યા","In Ahmedabad, prices declined waDodaraa-raajakoTamaa.m makaanonaa.m","Property prices in Ahmedabad rise, Vadodara-Rajkot area are getting cheaper",0.71706874615096,95.0,1
gu-en,"ગિલબર્ટ પોલીસે કહ્યું કે, પક્ષીઓને ફળ ખાવાથી રોકવા શક્ય નથી.","Gilbert, the police said that it was not possible to stop eating the fruit.",Gilbert police said that it was not possible to stop the birds from eating this fruit.,0.71706874615096,95.0,1
gu-en,પાકિસ્તાનના પૂર્વ રાષ્ટ્રપતિ પરવેઝ મુશર્રફની આજે હત્યા કરવાની કોશિષ કરવામાં આવી.,Former Pakistan President Pervez musharrafanii today to the murder.,An attempt to assassinate Pakistan’s former President Pervez Musharraf was made today.,0.517894601823001,90.0,1
gu-en,આ સંસ્થા બ્રિટનમાં રશિયાના પૂર્વ જાસૂસ પર થયેલા કથિત નર્વ અટૅકની તપાસ કરી રહી છે.,The institute in eastern Russia in the alleged nerve aTॅkanii jaasuusa on the investigation.,This organisation is investigating about the alleged nerve attacks on former Russian spies in Britain.,0.358555286360634,86.0,1
gu-en,ઓટીપી ન આખ્યા પછી તમારી પાસે પીએનાઅર ડિટેલ્સ આવી જશે.,After you have not oTiipii aakhyaa piienaaara DiTelsa will come.,You will get the PNR details besides the OTP number.,0.876408061613327,99.0,1
